TimeAllocationMutator,mutationRange,ReRoute,ModeChoice,coordDistance,probaForRandomSingleTripMode,maxAgentPlanMemorySize,fractionOfIterationsToDisableInnovation,brainExpBeta
0.6,450.0,0.6,0.8,20.0,0.4,8.0,0.84,800.0
0.6,450.0,0.0,0.8,20.0,0.4,8.0,0.84,800.0
0.6,450.0,0.0,0.8,80.0,0.4,8.0,0.84,800.0
0.6,450.0,0.0,0.8,80.0,0.4,8.0,0.84,200.0
0.6,450.0,0.0,0.2,80.0,0.4,8.0,0.84,200.0
0.6,8820.0,0.0,0.2,80.0,0.4,8.0,0.84,200.0
0.0,8820.0,0.0,0.2,80.0,0.4,8.0,0.84,200.0
0.0,8820.0,0.0,0.2,80.0,0.4,8.0,0.96,200.0
0.0,8820.0,0.0,0.2,80.0,1.0,8.0,0.96,200.0
0.0,8820.0,0.0,0.2,80.0,1.0,20.0,0.96,200.0
0.4,11610.0,0.2,0.0,80.0,0.2,0.0,0.84,0.0
0.4,11610.0,0.2,0.0,20.0,0.2,0.0,0.84,0.0
0.4,11610.0,0.2,0.0,20.0,0.2,12.0,0.84,0.0
0.4,3240.0,0.2,0.0,20.0,0.2,12.0,0.84,0.0
0.4,3240.0,0.2,0.0,20.0,0.8,12.0,0.84,0.0
0.4,3240.0,0.8,0.0,20.0,0.8,12.0,0.84,0.0
1.0,3240.0,0.8,0.0,20.0,0.8,12.0,0.84,0.0
1.0,3240.0,0.8,0.0,20.0,0.8,12.0,0.96,0.0
1.0,3240.0,0.8,0.0,20.0,0.8,12.0,0.96,600.0
1.0,3240.0,0.8,0.6,20.0,0.8,12.0,0.96,600.0
0.2,11610.0,1.0,0.2,100.0,0.8,16.0,0.8,600.0
0.8,11610.0,1.0,0.2,100.0,0.8,16.0,0.8,600.0
0.8,11610.0,0.4,0.2,100.0,0.8,16.0,0.8,600.0
0.8,11610.0,0.4,0.2,100.0,0.8,16.0,0.8,0.0
0.8,3240.0,0.4,0.2,100.0,0.8,16.0,0.8,0.0
0.8,3240.0,0.4,0.2,40.0,0.8,16.0,0.8,0.0
0.8,3240.0,0.4,0.2,40.0,0.8,4.0,0.8,0.0
0.8,3240.0,0.4,0.8,40.0,0.8,4.0,0.8,0.0
0.8,3240.0,0.4,0.8,40.0,0.2,4.0,0.8,0.0
0.8,3240.0,0.4,0.8,40.0,0.2,4.0,0.92,0.0
0.2,450.0,0.6,0.4,40.0,1.0,12.0,0.84,0.0
0.2,450.0,0.0,0.4,40.0,1.0,12.0,0.84,0.0
0.2,450.0,0.0,0.4,100.0,1.0,12.0,0.84,0.0
0.2,8820.0,0.0,0.4,100.0,1.0,12.0,0.84,0.0
0.8,8820.0,0.0,0.4,100.0,1.0,12.0,0.84,0.0
0.8,8820.0,0.0,0.4,100.0,1.0,12.0,0.96,0.0
0.8,8820.0,0.0,0.4,100.0,0.4,12.0,0.96,0.0
0.8,8820.0,0.0,0.4,100.0,0.4,12.0,0.96,600.0
0.8,8820.0,0.0,0.4,100.0,0.4,0.0,0.96,600.0
0.8,8820.0,0.0,1.0,100.0,0.4,0.0,0.96,600.0
0.0,3240.0,0.6,0.8,0.0,1.0,0.0,0.8,1000.0
0.0,3240.0,0.0,0.8,0.0,1.0,0.0,0.8,1000.0
0.0,11610.0,0.0,0.8,0.0,1.0,0.0,0.8,1000.0
0.0,11610.0,0.0,0.8,0.0,1.0,0.0,0.8,400.0
0.0,11610.0,0.0,0.8,60.0,1.0,0.0,0.8,400.0
0.6,11610.0,0.0,0.8,60.0,1.0,0.0,0.8,400.0
0.6,11610.0,0.0,0.8,60.0,0.4,0.0,0.8,400.0
0.6,11610.0,0.0,0.8,60.0,0.4,0.0,0.92,400.0
0.6,11610.0,0.0,0.8,60.0,0.4,12.0,0.92,400.0
0.6,11610.0,0.0,0.2,60.0,0.4,12.0,0.92,400.0
0.2,450.0,0.0,0.2,0.0,0.6,8.0,0.88,400.0
0.2,450.0,0.0,0.2,0.0,0.6,8.0,0.88,1000.0
0.8,450.0,0.0,0.2,0.0,0.6,8.0,0.88,1000.0
0.8,450.0,0.0,0.2,0.0,0.6,20.0,0.88,1000.0
0.8,450.0,0.0,0.8,0.0,0.6,20.0,0.88,1000.0
0.8,450.0,0.0,0.8,0.0,0.0,20.0,0.88,1000.0
0.8,450.0,0.0,0.8,60.0,0.0,20.0,0.88,1000.0
0.8,8820.0,0.0,0.8,60.0,0.0,20.0,0.88,1000.0
0.8,8820.0,0.6,0.8,60.0,0.0,20.0,0.88,1000.0
0.8,8820.0,0.6,0.8,60.0,0.0,20.0,1.0,1000.0
