TimeAllocationMutator,mutationRange,ReRoute,ModeChoice,coordDistance,probaForRandomSingleTripMode,maxAgentPlanMemorySize,fractionOfIterationsToDisableInnovation,brainExpBeta
0.0,6030.0,0.2,0.2,60.0,0.4,0.0,0.84,600.0
0.0,6030.0,0.2,0.8,60.0,0.4,0.0,0.84,600.0
0.0,14400.0,0.2,0.8,60.0,0.4,0.0,0.84,600.0
0.0,14400.0,0.2,0.8,60.0,0.4,12.0,0.84,600.0
0.0,14400.0,0.2,0.8,0.0,0.4,12.0,0.84,600.0
0.0,14400.0,0.2,0.8,0.0,0.4,12.0,0.84,0.0
0.0,14400.0,0.8,0.8,0.0,0.4,12.0,0.84,0.0
0.0,14400.0,0.8,0.8,0.0,0.4,12.0,0.96,0.0
0.0,14400.0,0.8,0.8,0.0,1.0,12.0,0.96,0.0
0.6,14400.0,0.8,0.8,0.0,1.0,12.0,0.96,0.0
0.6,3240.0,0.2,0.4,80.0,1.0,20.0,0.88,1000.0
0.0,3240.0,0.2,0.4,80.0,1.0,20.0,0.88,1000.0
0.0,3240.0,0.2,0.4,80.0,1.0,20.0,0.88,400.0
0.0,3240.0,0.2,0.4,80.0,0.4,20.0,0.88,400.0
0.0,3240.0,0.2,1.0,80.0,0.4,20.0,0.88,400.0
0.0,3240.0,0.2,1.0,80.0,0.4,8.0,0.88,400.0
0.0,11610.0,0.2,1.0,80.0,0.4,8.0,0.88,400.0
0.0,11610.0,0.8,1.0,80.0,0.4,8.0,0.88,400.0
0.0,11610.0,0.8,1.0,80.0,0.4,8.0,1.0,400.0
0.0,11610.0,0.8,1.0,20.0,0.4,8.0,1.0,400.0
0.8,14400.0,0.2,0.8,20.0,0.2,20.0,0.8,600.0
0.2,14400.0,0.2,0.8,20.0,0.2,20.0,0.8,600.0
0.2,14400.0,0.2,0.8,20.0,0.2,20.0,0.92,600.0
0.2,14400.0,0.2,0.8,20.0,0.8,20.0,0.92,600.0
0.2,14400.0,0.2,0.2,20.0,0.8,20.0,0.92,600.0
0.2,14400.0,0.2,0.2,20.0,0.8,8.0,0.92,600.0
0.2,6030.0,0.2,0.2,20.0,0.8,8.0,0.92,600.0
0.2,6030.0,0.2,0.2,80.0,0.8,8.0,0.92,600.0
0.2,6030.0,0.8,0.2,80.0,0.8,8.0,0.92,600.0
0.2,6030.0,0.8,0.2,80.0,0.8,8.0,0.92,0.0
0.4,450.0,0.0,0.8,100.0,0.8,12.0,0.84,200.0
0.4,450.0,0.0,0.8,100.0,0.8,12.0,0.96,200.0
0.4,450.0,0.0,0.8,100.0,0.8,12.0,0.96,800.0
0.4,450.0,0.6,0.8,100.0,0.8,12.0,0.96,800.0
0.4,450.0,0.6,0.8,40.0,0.8,12.0,0.96,800.0
0.4,8820.0,0.6,0.8,40.0,0.8,12.0,0.96,800.0
0.4,8820.0,0.6,0.8,40.0,0.8,0.0,0.96,800.0
1.0,8820.0,0.6,0.8,40.0,0.8,0.0,0.96,800.0
1.0,8820.0,0.6,0.8,40.0,0.2,0.0,0.96,800.0
1.0,8820.0,0.6,0.2,40.0,0.2,0.0,0.96,800.0
0.0,11610.0,0.2,0.8,40.0,0.8,8.0,0.88,400.0
0.0,11610.0,0.2,0.8,40.0,0.2,8.0,0.88,400.0
0.0,11610.0,0.2,0.2,40.0,0.2,8.0,0.88,400.0
0.0,11610.0,0.2,0.2,40.0,0.2,8.0,1.0,400.0
0.0,11610.0,0.2,0.2,100.0,0.2,8.0,1.0,400.0
0.6,11610.0,0.2,0.2,100.0,0.2,8.0,1.0,400.0
0.6,11610.0,0.8,0.2,100.0,0.2,8.0,1.0,400.0
0.6,11610.0,0.8,0.2,100.0,0.2,8.0,1.0,1000.0
0.6,3240.0,0.8,0.2,100.0,0.2,8.0,1.0,1000.0
0.6,3240.0,0.8,0.2,100.0,0.2,20.0,1.0,1000.0
0.8,14400.0,1.0,0.2,0.0,0.6,16.0,0.84,400.0
0.8,14400.0,1.0,0.2,0.0,0.6,16.0,0.84,1000.0
0.8,14400.0,1.0,0.2,0.0,0.6,4.0,0.84,1000.0
0.8,6030.0,1.0,0.2,0.0,0.6,4.0,0.84,1000.0
0.8,6030.0,1.0,0.2,0.0,0.6,4.0,0.96,1000.0
0.8,6030.0,1.0,0.2,0.0,0.0,4.0,0.96,1000.0
0.8,6030.0,0.4,0.2,0.0,0.0,4.0,0.96,1000.0
0.8,6030.0,0.4,0.8,0.0,0.0,4.0,0.96,1000.0
0.2,6030.0,0.4,0.8,0.0,0.0,4.0,0.96,1000.0
0.2,6030.0,0.4,0.8,60.0,0.0,4.0,0.96,1000.0
